BUILDING TYPE,TOTAL KWH,TOTAL POPULATION,TOTAL UNITS,AVERAGE STORIES,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE,OCCUPIED UNITS,RENTER-OCCUPIED HOUSING UNITS
Residential,113442.0,54.0,25.0,1.75,82.63,2.16,25.0,1.0
Residential,38137.0,20.0,5.0,2.0,68.5,4.0,5.0,1.0
Residential,157326.0,43.0,14.0,1.5,85.86,3.07,14.0,1.0
Residential,24723.0,20.0,5.0,2.0,71.0,4.0,5.0,1.0
Residential,254117.0,83.0,30.0,1.82,86.91,3.07,27.0,1.0
Commercial,404798.0,8.0,3.0,1.25,31.25,2.67,3.0,2.0
Residential,49418.0,8.0,3.0,1.67,21.0,2.67,3.0,2.0
Commercial,93651.0,68.0,31.0,1.0,0.0,2.27,30.0,1.0
Residential,54949.0,68.0,31.0,2.0,56.33,2.27,30.0,1.0
Residential,261665.0,68.0,31.0,1.55,44.0,2.27,30.0,1.0
Residential,138434.0,45.0,15.0,1.8,75.0,3.0,15.0,0.0
Commercial,1474.0,14.0,10.0,1.0,62.67,1.56,9.0,9.0
Residential,107355.0,38.0,11.0,1.82,89.64,3.45,11.0,0.0
Residential,100958.0,31.0,11.0,1.67,91.44,2.82,11.0,2.0
Residential,111324.0,31.0,12.0,1.42,85.83,2.82,11.0,0.0
Residential,114799.0,37.0,13.0,1.25,70.0,2.85,13.0,1.0
Residential,130120.0,38.0,12.0,1.45,81.91,3.17,12.0,0.0
Residential,44350.0,26.0,11.0,1.38,76.38,2.6,10.0,3.0
Residential,112848.0,38.0,11.0,1.09,88.36,3.45,11.0,0.0
Residential,135695.0,31.0,14.0,1.29,84.86,2.38,13.0,0.0
Residential,156532.0,44.0,15.0,1.07,80.29,2.93,15.0,0.0
Residential,125217.0,38.0,14.0,1.21,66.14,2.92,13.0,1.0
Residential,161578.0,46.0,15.0,1.07,84.2,3.07,15.0,1.0
Residential,104145.0,30.0,14.0,1.07,83.93,2.14,14.0,1.0
Residential,131590.0,43.0,16.0,1.53,83.27,2.87,15.0,1.0
Residential,111891.0,50.0,22.0,1.42,75.17,2.27,22.0,10.0
Residential,140831.0,50.0,21.0,1.33,79.13,2.38,21.0,7.0
Residential,236900.0,63.0,22.0,1.55,75.27,2.86,22.0,0.0
Residential,248573.0,68.0,20.0,1.89,73.21,3.4,20.0,0.0
Residential,244607.0,43.0,19.0,2.0,79.63,2.39,18.0,0.0
Residential,277412.0,60.0,21.0,1.95,77.14,2.86,21.0,0.0
Residential,57981.0,33.0,9.0,1.38,83.5,3.67,9.0,0.0
Residential,82275.0,19.0,12.0,1.5,54.7,1.9,10.0,1.0
Residential,95780.0,32.0,11.0,1.82,67.64,2.91,11.0,0.0
Residential,87438.0,32.0,11.0,1.5,71.7,2.91,11.0,1.0
Residential,100237.0,37.0,11.0,1.9,71.8,3.36,11.0,0.0
Residential,80856.0,33.0,11.0,1.45,70.18,3.0,11.0,1.0
Residential,106179.0,25.0,9.0,1.9,69.9,2.78,9.0,1.0
Residential,60101.0,24.0,9.0,1.63,74.0,3.0,8.0,0.0
Residential,81495.0,28.0,11.0,1.55,79.0,2.8,10.0,0.0
Residential,113202.0,26.0,10.0,1.27,77.18,2.6,10.0,0.0
Residential,48441.0,29.0,11.0,1.29,83.0,2.9,10.0,0.0
Residential,89982.0,30.0,13.0,1.46,82.23,2.31,13.0,0.0
Residential,149050.0,40.0,14.0,1.29,80.93,2.86,14.0,0.0
Residential,153076.0,46.0,16.0,1.43,83.43,2.88,16.0,0.0
Residential,142908.0,44.0,15.0,1.5,78.44,2.93,15.0,0.0
Residential,132563.0,38.0,13.0,1.69,66.69,2.92,13.0,0.0
Residential,104652.0,23.0,13.0,1.7,60.5,2.3,10.0,0.0
Residential,127960.0,28.0,13.0,1.73,60.27,2.33,12.0,1.0
Residential,108271.0,26.0,13.0,1.58,63.25,2.17,12.0,0.0
Residential,146489.0,46.0,16.0,1.53,65.4,2.88,16.0,0.0
Residential,205801.0,49.0,18.0,1.65,63.12,2.72,18.0,0.0
Residential,92229.0,27.0,12.0,1.42,55.83,2.7,10.0,0.0
Residential,259419.0,71.0,23.0,1.87,80.26,3.23,22.0,0.0
Residential,274325.0,74.0,23.0,1.78,80.39,3.22,23.0,0.0
Residential,213803.0,55.0,21.0,1.76,75.14,2.62,21.0,2.0
Residential,88801.0,24.0,6.0,1.71,79.29,4.0,6.0,1.0
Residential,256365.0,79.0,26.0,1.65,65.57,3.16,25.0,4.0
Residential,148775.0,46.0,12.0,1.85,56.77,4.18,11.0,1.0
Residential,93386.0,32.0,13.0,1.18,58.73,2.67,12.0,1.0
Residential,70720.0,18.0,8.0,2.0,67.57,2.57,7.0,0.0
Commercial,326408.0,6.0,4.0,1.38,55.25,1.5,4.0,4.0
Residential,143832.0,39.0,15.0,1.53,70.53,2.79,14.0,0.0
Residential,111335.0,35.0,15.0,1.79,62.36,2.33,15.0,2.0
Residential,120809.0,38.0,19.0,1.43,61.29,2.0,19.0,7.0
Residential,221628.0,67.0,27.0,1.57,67.04,2.79,24.0,4.0
Residential,122202.0,40.0,14.0,1.38,81.62,2.86,14.0,0.0
Residential,229296.0,66.0,23.0,1.75,77.45,2.87,23.0,2.0
Residential,292202.0,77.0,21.0,1.81,70.57,3.67,21.0,1.0
Residential,174943.0,38.0,11.0,1.83,81.75,3.18,11.0,0.0
Residential,148001.0,33.0,12.0,1.67,78.92,2.75,12.0,1.0
Residential,172391.0,43.0,14.0,1.71,76.14,3.07,14.0,0.0
Residential,160507.0,35.0,13.0,1.36,73.0,2.69,13.0,0.0
Residential,122724.0,33.0,13.0,1.31,72.54,2.54,13.0,2.0
Commercial,216637.0,6.0,2.0,1.38,51.46,3.0,2.0,2.0
Commercial,541233.0,1.0,1.0,1.38,53.13,1.0,1.0,0.0
Residential,153082.0,35.0,14.0,1.6,65.87,2.5,14.0,2.0
Residential,140229.0,42.0,14.0,1.15,73.31,3.0,14.0,0.0
Residential,164642.0,40.0,14.0,1.43,76.07,2.86,14.0,0.0
Residential,116044.0,39.0,11.0,1.8,75.2,3.55,11.0,0.0
Residential,171517.0,44.0,10.0,2.0,79.6,4.4,10.0,0.0
Residential,136943.0,32.0,10.0,1.78,88.44,3.56,9.0,0.0
Residential,328414.0,65.0,22.0,1.79,86.61,3.1,21.0,0.0
Residential,384976.0,82.0,26.0,1.92,92.69,3.42,24.0,0.0
Residential,91340.0,21.0,8.0,1.88,90.88,2.63,8.0,0.0
Residential,65188.0,17.0,5.0,1.6,72.4,3.4,5.0,1.0
Residential,130583.0,42.0,13.0,1.46,77.69,3.23,13.0,1.0
Residential,113179.0,27.0,15.0,1.36,70.5,1.93,14.0,1.0
Residential,163980.0,43.0,14.0,1.36,75.93,3.07,14.0,0.0
Residential,145569.0,42.0,14.0,1.64,68.71,3.0,14.0,0.0
Residential,238396.0,56.0,25.0,1.16,50.36,2.33,24.0,0.0
Residential,240181.0,64.0,25.0,1.21,49.54,2.67,24.0,0.0
Residential,271289.0,71.0,32.0,1.77,57.93,2.37,30.0,0.0
Residential,312742.0,74.0,31.0,1.3,58.6,2.39,31.0,0.0
Commercial,459116.0,89.0,34.0,1.0,38.4,2.62,34.0,4.0
Residential,308611.0,89.0,34.0,1.18,53.35,2.62,34.0,4.0
Residential,89648.0,22.0,9.0,2.0,77.89,2.75,8.0,0.0
Residential,138928.0,37.0,12.0,2.0,76.25,3.08,12.0,0.0
Residential,88146.0,25.0,12.0,2.0,80.36,2.5,10.0,1.0
Residential,162834.0,45.0,12.0,1.83,69.08,3.75,12.0,0.0
Residential,247422.0,63.0,20.0,1.55,71.7,3.15,20.0,0.0
Residential,279075.0,73.0,26.0,1.83,64.38,2.81,26.0,0.0
Commercial,199802.0,4.0,2.0,1.13,45.63,2.0,2.0,2.0
Residential,92678.0,35.0,13.0,1.75,67.75,2.92,12.0,1.0
Residential,111962.0,32.0,14.0,1.64,62.36,2.29,14.0,0.0
Residential,106209.0,34.0,15.0,1.79,67.07,2.27,15.0,2.0
Residential,144831.0,36.0,14.0,1.61,59.72,2.77,13.0,0.0
Residential,137548.0,61.0,21.0,2.0,61.27,2.9,21.0,0.0
Residential,142290.0,46.0,15.0,1.93,61.2,3.07,15.0,1.0
Commercial,452175.0,2.0,2.0,1.43,55.0,1.0,2.0,1.0
Commercial,26167.0,2.0,2.0,2.0,50.5,1.0,2.0,1.0
Commercial,318232.0,5.0,1.0,1.0,47.4,5.0,1.0,1.0
Residential,157546.0,50.0,15.0,1.73,58.93,3.33,15.0,0.0
Residential,120951.0,38.0,15.0,1.67,60.87,2.53,15.0,0.0
Residential,133621.0,46.0,15.0,1.56,59.0,3.07,15.0,1.0
Residential,164597.0,51.0,16.0,1.0,57.07,3.19,16.0,1.0
Residential,172137.0,45.0,16.0,1.0,57.0,2.81,16.0,0.0
Residential,181469.0,54.0,17.0,1.06,58.35,3.18,17.0,0.0
Residential,145456.0,37.0,16.0,1.0,56.71,2.31,16.0,2.0
Commercial,14113.0,164.0,68.0,2.0,64.0,2.52,65.0,3.0
Residential,585740.0,164.0,68.0,1.88,61.48,2.52,65.0,3.0
Commercial,111844.0,8.0,4.0,1.5,53.5,2.0,4.0,0.0
Residential,21485.0,8.0,4.0,1.0,58.25,2.0,4.0,0.0
Residential,107331.0,32.0,11.0,1.55,60.91,3.56,9.0,0.0
Commercial,774604.0,25.0,12.0,1.33,29.33,2.08,12.0,1.0
Residential,88839.0,25.0,12.0,1.09,58.55,2.08,12.0,1.0
Residential,562495.0,180.0,57.0,1.93,59.34,3.21,56.0,4.0
Residential,27748.0,15.0,7.0,2.0,62.0,2.14,7.0,3.0
Residential,49903.0,18.0,7.0,2.0,62.0,3.0,6.0,0.0
Residential,71710.0,22.0,6.0,2.0,61.0,3.67,6.0,1.0
Residential,179303.0,68.0,24.0,1.62,60.67,3.09,22.0,2.0
Residential,82819.0,28.0,12.0,1.17,58.75,2.33,12.0,0.0
Residential,144825.0,41.0,17.0,1.13,58.5,2.56,16.0,0.0
Residential,104267.0,30.0,12.0,1.0,58.17,2.73,11.0,0.0
Residential,113192.0,34.0,12.0,1.0,55.0,2.83,12.0,0.0
Residential,73591.0,27.0,12.0,1.0,55.73,2.25,12.0,0.0
Residential,100413.0,28.0,13.0,1.0,53.31,2.55,11.0,0.0
Residential,88457.0,33.0,13.0,1.0,53.25,2.54,13.0,2.0
Residential,100451.0,35.0,14.0,1.0,55.64,2.69,13.0,0.0
Residential,104185.0,36.0,18.0,1.0,55.06,2.0,18.0,2.0
Residential,127718.0,40.0,17.0,1.0,53.94,2.5,16.0,1.0
Residential,195016.0,53.0,17.0,1.0,55.0,3.12,17.0,0.0
Residential,155417.0,37.0,17.0,1.0,56.29,2.18,17.0,1.0
Residential,139720.0,52.0,17.0,1.0,57.12,3.06,17.0,1.0
Residential,108599.0,33.0,17.0,1.12,55.88,1.94,17.0,0.0
Residential,161750.0,54.0,17.0,1.06,55.88,3.18,17.0,1.0
Residential,135090.0,42.0,17.0,1.19,50.31,2.63,16.0,2.0
Residential,143716.0,49.0,17.0,1.06,54.82,2.88,17.0,0.0
Residential,109737.0,44.0,18.0,1.0,55.71,2.44,18.0,3.0
Residential,92455.0,28.0,13.0,1.0,55.38,2.33,12.0,2.0
Residential,109023.0,27.0,12.0,1.15,52.62,2.45,11.0,0.0
Residential,156114.0,25.0,11.0,1.21,56.68,2.27,11.0,0.0
Residential,94762.0,10.0,5.0,1.18,55.27,2.0,5.0,0.0
Residential,111731.0,39.0,12.0,1.67,60.78,3.25,12.0,2.0
Residential,98442.0,17.0,8.0,1.1,58.0,2.13,8.0,0.0
Residential,210267.0,41.0,14.0,1.4,61.6,2.93,14.0,0.0
Residential,191146.0,41.0,15.0,1.67,64.53,2.73,15.0,0.0
Residential,74742.0,25.0,11.0,1.64,75.09,2.5,10.0,1.0
Residential,329529.0,85.0,25.0,1.43,66.97,3.4,25.0,0.0
Residential,91842.0,32.0,18.0,1.0,54.13,1.88,17.0,3.0
Residential,153455.0,43.0,15.0,1.0,48.07,2.87,15.0,1.0
Residential,116655.0,31.0,14.0,1.14,54.0,2.38,13.0,1.0
Residential,26442.0,9.0,3.0,1.0,55.67,3.0,3.0,0.0
Residential,150783.0,49.0,19.0,1.11,52.89,2.58,19.0,2.0
Residential,51986.0,18.0,6.0,2.0,63.4,3.0,6.0,0.0
Residential,73729.0,22.0,6.0,1.83,66.17,3.67,6.0,0.0
Residential,197381.0,43.0,19.0,1.82,60.59,2.26,19.0,0.0
Residential,143833.0,34.0,12.0,1.67,66.17,3.09,11.0,0.0
Residential,285131.0,80.0,26.0,1.8,62.04,3.2,25.0,0.0
Residential,67850.0,21.0,7.0,2.0,68.0,3.0,7.0,0.0
Residential,74659.0,15.0,7.0,1.63,63.5,2.14,7.0,0.0
Residential,82083.0,12.0,6.0,1.5,60.25,2.0,6.0,0.0
Residential,78482.0,17.0,7.0,2.0,65.43,2.43,7.0,0.0
Commercial,15634.0,14.0,7.0,1.0,50.5,2.0,7.0,0.0
Residential,27227.0,14.0,7.0,1.25,50.75,2.0,7.0,0.0
Residential,59522.0,10.0,5.0,1.0,55.71,2.0,5.0,0.0
Residential,79224.0,8.0,4.0,1.63,59.13,2.0,4.0,1.0
Residential,53214.0,28.0,9.0,1.43,59.71,3.11,9.0,0.0
Residential,98757.0,43.0,11.0,1.44,70.89,3.91,11.0,0.0
Residential,114101.0,36.0,11.0,1.55,65.64,3.27,11.0,0.0
Residential,156958.0,37.0,11.0,1.5,77.25,3.36,11.0,0.0
Residential,113923.0,36.0,11.0,1.27,65.18,3.27,11.0,1.0
Residential,89038.0,38.0,11.0,1.33,58.22,3.45,11.0,0.0
Residential,163027.0,42.0,15.0,1.53,66.0,2.8,15.0,1.0
Commercial,168477.0,2.0,1.0,1.13,42.13,2.0,1.0,1.0
Residential,109755.0,76.0,47.0,2.0,54.0,1.62,47.0,25.0
Residential,34715.0,76.0,47.0,1.75,60.0,1.62,47.0,25.0
Residential,64883.0,65.0,47.0,2.17,63.5,1.63,40.0,19.0
Residential,47946.0,65.0,47.0,2.0,64.5,1.63,40.0,19.0
Residential,119118.0,39.0,15.0,1.86,69.43,2.6,15.0,0.0
Residential,69983.0,20.0,6.0,1.14,55.14,3.33,6.0,0.0
Residential,212052.0,52.0,15.0,1.44,68.75,3.47,15.0,1.0
Residential,174751.0,54.0,15.0,1.27,75.47,3.6,15.0,1.0
Residential,165068.0,47.0,14.0,1.64,57.21,3.36,14.0,0.0
Residential,155630.0,18.0,6.0,1.11,56.33,3.0,6.0,0.0
Residential,70406.0,18.0,7.0,1.57,57.57,2.57,7.0,0.0
Residential,28822.0,20.0,6.0,1.0,59.0,3.33,6.0,0.0
Residential,136311.0,34.0,6.0,1.56,63.22,5.67,6.0,0.0
Residential,144392.0,54.0,14.0,1.64,66.43,3.86,14.0,1.0
Residential,159352.0,42.0,14.0,1.79,68.71,3.0,14.0,0.0
Residential,164167.0,44.0,15.0,1.4,74.47,2.93,15.0,0.0
Residential,183498.0,55.0,14.0,1.36,75.36,3.93,14.0,0.0
Residential,106304.0,22.0,11.0,1.55,74.64,2.0,11.0,0.0
Residential,125013.0,44.0,23.0,2.0,61.3,2.1,21.0,11.0
Residential,57630.0,32.0,26.0,2.25,59.25,1.28,25.0,9.0
Residential,35737.0,32.0,26.0,1.0,0.0,1.28,25.0,9.0
Commercial,364689.0,23.0,15.0,1.0,45.71,1.64,14.0,5.0
Residential,68862.0,22.0,9.0,1.89,65.78,2.44,9.0,1.0
Residential,64912.0,18.0,8.0,1.86,66.0,2.25,8.0,0.0
Residential,145786.0,40.0,11.0,1.36,68.45,3.64,11.0,0.0
Residential,111327.0,38.0,12.0,1.17,60.17,3.17,12.0,0.0
Residential,71788.0,32.0,9.0,1.13,73.75,3.56,9.0,0.0
Residential,158242.0,36.0,13.0,1.69,64.15,2.77,13.0,0.0
Residential,139167.0,35.0,12.0,1.31,63.0,2.92,12.0,0.0
Residential,88400.0,29.0,11.0,1.36,59.82,2.64,11.0,0.0
Residential,112279.0,39.0,11.0,1.64,53.18,3.9,10.0,0.0
Residential,94589.0,22.0,8.0,1.25,56.88,2.75,8.0,0.0
Residential,81977.0,32.0,11.0,1.36,68.27,2.91,11.0,0.0
Residential,199989.0,51.0,20.0,1.85,85.7,2.68,19.0,1.0
Residential,121986.0,34.0,9.0,1.22,77.44,3.78,9.0,0.0
Residential,120839.0,34.0,11.0,1.91,78.64,3.09,11.0,0.0
Residential,132990.0,33.0,12.0,2.0,86.8,2.75,12.0,2.0
Residential,149266.0,39.0,12.0,2.0,82.0,3.25,12.0,0.0
Residential,36825.0,13.0,5.0,2.0,81.0,2.6,5.0,0.0
Residential,45119.0,13.0,5.0,1.6,65.8,2.6,5.0,0.0
Residential,42418.0,21.0,7.0,1.0,61.2,3.0,7.0,0.0
Commercial,535760.0,1.0,1.0,1.17,37.5,1.0,1.0,0.0
Residential,63601.0,16.0,9.0,1.56,54.11,1.78,9.0,0.0
Residential,107000.0,19.0,9.0,1.6,57.8,2.11,9.0,0.0
Residential,97643.0,26.0,9.0,1.89,60.56,2.89,9.0,0.0
Residential,122305.0,25.0,9.0,2.0,67.44,2.78,9.0,0.0
Residential,91784.0,31.0,8.0,1.83,59.67,3.88,8.0,0.0
Residential,140185.0,34.0,9.0,1.9,75.0,3.78,9.0,0.0
Residential,106713.0,25.0,9.0,2.0,77.33,2.78,9.0,0.0
Residential,117085.0,32.0,11.0,1.73,75.82,2.91,11.0,1.0
Residential,102812.0,30.0,11.0,2.0,87.91,3.0,10.0,0.0
Residential,112678.0,33.0,11.0,2.0,85.27,3.0,11.0,1.0
Residential,150778.0,37.0,10.0,1.78,74.56,3.7,10.0,0.0
Residential,98416.0,28.0,8.0,2.0,84.43,3.5,8.0,0.0
Residential,259552.0,63.0,20.0,1.95,90.26,3.5,18.0,0.0
Residential,119849.0,31.0,12.0,1.75,74.58,2.58,12.0,0.0
Residential,99272.0,31.0,11.0,1.8,72.1,2.82,11.0,0.0
Residential,134479.0,37.0,11.0,2.0,69.5,3.36,11.0,0.0
Residential,106730.0,28.0,11.0,1.9,72.2,2.55,11.0,0.0
Residential,84731.0,42.0,27.0,2.0,66.25,1.75,24.0,14.0
Residential,55606.0,42.0,27.0,2.0,63.5,1.75,24.0,14.0
Residential,54407.0,61.0,29.0,2.0,63.33,2.26,27.0,18.0
Residential,107567.0,61.0,29.0,2.0,58.38,2.26,27.0,18.0
Residential,255786.0,74.0,18.0,1.76,81.24,4.11,18.0,0.0
Residential,119947.0,34.0,11.0,1.9,88.5,3.4,10.0,0.0
Residential,134256.0,35.0,13.0,1.83,82.25,2.69,13.0,1.0
Residential,105508.0,33.0,12.0,1.5,78.83,2.75,12.0,0.0
Residential,126313.0,30.0,12.0,1.55,76.36,2.5,12.0,0.0
Residential,131543.0,31.0,12.0,1.58,87.17,2.58,12.0,0.0
Residential,121280.0,43.0,13.0,1.46,77.23,3.31,13.0,1.0
Residential,146212.0,42.0,14.0,1.5,81.21,3.0,14.0,0.0
Residential,70019.0,27.0,9.0,1.57,64.14,3.0,9.0,0.0
Residential,144302.0,35.0,12.0,1.36,66.18,2.92,12.0,0.0
Residential,35440.0,26.0,14.0,2.0,66.5,1.86,14.0,1.0
Residential,58886.0,26.0,14.0,2.14,61.86,1.86,14.0,1.0
Residential,58996.0,48.0,23.0,2.0,58.0,2.18,22.0,9.0
Residential,62214.0,48.0,23.0,1.5,62.0,2.18,22.0,9.0
Residential,72501.0,26.0,11.0,1.29,74.57,2.36,11.0,3.0
Residential,85521.0,36.0,11.0,1.27,81.73,3.6,10.0,0.0
Residential,153821.0,42.0,17.0,1.68,74.0,2.63,16.0,0.0
Residential,63320.0,28.0,9.0,1.29,79.43,3.11,9.0,2.0
Residential,96496.0,21.0,9.0,1.33,82.89,2.63,8.0,1.0
Residential,121729.0,30.0,10.0,1.2,73.7,3.0,10.0,0.0
Residential,67104.0,22.0,9.0,1.63,85.38,2.44,9.0,0.0
Residential,118263.0,30.0,10.0,1.64,81.91,3.0,10.0,0.0
Residential,101135.0,26.0,9.0,1.9,80.8,2.89,9.0,0.0
Residential,205397.0,52.0,20.0,1.89,83.26,2.74,19.0,0.0
Residential,40827.0,18.0,7.0,1.0,75.67,3.0,6.0,0.0
Residential,62430.0,12.0,5.0,1.0,70.2,2.4,5.0,0.0
Residential,32048.0,14.0,6.0,1.75,103.25,2.33,6.0,0.0
Residential,21328.0,11.0,4.0,1.33,67.67,2.75,4.0,0.0
Residential,25817.0,13.0,7.0,2.0,65.0,1.86,7.0,6.0
Residential,85656.0,13.0,7.0,1.89,66.11,1.86,7.0,6.0
Commercial,83527.0,4.0,3.0,1.0,45.0,2.0,2.0,2.0
Residential,73870.0,145.0,114.0,2.5,47.5,1.58,92.0,85.0
Residential,80189.0,145.0,114.0,1.89,86.0,1.58,92.0,85.0
Commercial,487986.0,222.0,123.0,1.0,13.83,1.87,119.0,74.0
Commercial,184464.0,222.0,123.0,3.5,42.0,1.87,119.0,74.0
Residential,68498.0,222.0,123.0,1.75,39.0,1.87,119.0,74.0
Residential,176139.0,222.0,123.0,1.55,69.4,1.87,119.0,74.0
Commercial,45370.0,128.0,41.0,2.0,58.0,3.2,40.0,2.0
Residential,586326.0,128.0,41.0,1.89,86.16,3.2,40.0,2.0
Residential,211942.0,79.0,32.0,1.35,78.62,2.72,29.0,0.0
Residential,273769.0,279.0,156.0,4.0,49.5,1.91,146.0,107.0
Residential,190927.0,279.0,156.0,2.08,61.33,1.91,146.0,107.0
Residential,280851.0,279.0,156.0,1.77,81.15,1.91,146.0,107.0
Commercial,128025.0,42.0,15.0,2.0,44.0,2.8,15.0,0.0
Residential,285477.0,42.0,15.0,1.67,65.73,2.8,15.0,0.0
Residential,26244.0,112.0,74.0,3.0,82.5,1.7,66.0,60.0
Residential,124273.0,77.0,53.0,2.75,68.0,1.54,50.0,36.0
Residential,54317.0,77.0,53.0,1.5,50.5,1.54,50.0,36.0
Residential,39370.0,77.0,53.0,1.75,68.25,1.54,50.0,36.0
Residential,78641.0,24.0,10.0,1.5,66.13,2.4,10.0,0.0
Commercial,194375.0,455.0,277.0,1.67,27.67,1.74,262.0,249.0
Residential,348650.0,455.0,277.0,2.7,61.8,1.74,262.0,249.0
Residential,100506.0,455.0,277.0,2.14,54.0,1.74,262.0,249.0
Residential,80320.0,455.0,277.0,1.57,73.43,1.74,262.0,249.0
Commercial,108982.0,4.0,3.0,1.0,0.0,1.33,3.0,3.0
Residential,26108.0,4.0,3.0,1.0,0.0,1.33,3.0,3.0
Residential,65116.0,40.0,12.0,1.0,69.14,3.33,12.0,1.0
Residential,126343.0,41.0,20.0,1.44,89.31,2.41,17.0,1.0
Residential,68572.0,9.0,5.0,1.13,83.25,1.8,5.0,0.0
Residential,266887.0,83.0,34.0,1.48,84.74,2.86,29.0,2.0
Residential,132275.0,29.0,15.0,1.27,82.33,2.07,14.0,0.0
Residential,74943.0,25.0,9.0,1.33,70.22,3.13,8.0,1.0
Residential,216412.0,45.0,16.0,1.26,89.37,2.81,16.0,4.0
Residential,78741.0,135.0,50.0,2.0,109.33,3.14,43.0,12.0
Residential,201629.0,135.0,50.0,1.24,89.0,3.14,43.0,12.0
Residential,38406.0,27.0,9.0,1.0,86.0,3.38,8.0,3.0
Commercial,17510.0,175.0,63.0,1.33,91.0,2.92,60.0,4.0
Residential,463006.0,175.0,63.0,1.41,79.76,2.92,60.0,4.0
Residential,40073.0,87.0,32.0,2.0,107.25,2.9,30.0,4.0
Residential,222266.0,87.0,32.0,1.79,95.83,2.9,30.0,4.0
Residential,279817.0,64.0,22.0,1.39,77.91,3.05,21.0,3.0
Residential,225830.0,89.0,27.0,1.33,85.79,3.56,25.0,2.0
Residential,88750.0,157.0,64.0,2.0,59.83,2.49,63.0,7.0
Residential,278044.0,157.0,64.0,1.44,71.7,2.49,63.0,7.0
Residential,31786.0,138.0,57.0,2.0,112.0,2.6,53.0,3.0
Residential,544381.0,138.0,57.0,1.49,79.1,2.6,53.0,3.0
Residential,274675.0,138.0,54.0,1.6,94.57,2.6,53.0,5.0
Residential,91013.0,47.0,14.0,1.1,92.2,3.62,13.0,0.0
Residential,77634.0,26.0,8.0,1.71,85.57,3.25,8.0,0.0
Residential,39750.0,18.0,7.0,1.5,85.25,3.6,5.0,0.0
Residential,111906.0,32.0,11.0,1.85,92.69,3.2,10.0,0.0
Residential,102874.0,26.0,8.0,1.44,81.44,3.25,8.0,0.0
Residential,59508.0,27.0,9.0,1.75,79.63,3.38,8.0,0.0
Residential,63339.0,33.0,14.0,1.7,78.9,2.36,14.0,3.0
Residential,64942.0,19.0,10.0,1.33,75.0,1.9,10.0,0.0
Residential,116039.0,20.0,9.0,1.69,89.08,2.5,8.0,0.0
Residential,32837.0,26.0,9.0,1.0,28.5,2.89,9.0,2.0
Commercial,71826.0,180.0,64.0,2.0,65.5,3.27,55.0,38.0
Commercial,10838.0,103.0,39.0,2.0,10.5,2.64,39.0,1.0
Residential,406914.0,103.0,39.0,1.92,17.03,2.64,39.0,1.0
Residential,210828.0,43.0,17.0,1.71,20.88,2.53,17.0,0.0
Residential,349289.0,71.0,27.0,1.75,16.79,2.73,26.0,0.0
Residential,207426.0,136.0,47.0,1.0,1.17,3.16,43.0,28.0
Commercial,138035.0,199.0,62.0,3.0,122.0,3.26,61.0,43.0
Residential,177065.0,199.0,62.0,1.71,105.47,3.26,61.0,43.0
Residential,158958.0,125.0,49.0,1.91,107.55,2.78,45.0,19.0
Residential,118387.0,125.0,49.0,1.0,100.27,2.78,45.0,19.0
Residential,218207.0,180.0,64.0,1.73,98.4,3.27,55.0,38.0
Residential,168370.0,106.0,47.0,1.93,100.14,2.59,41.0,24.0
Residential,48376.0,106.0,47.0,1.0,107.86,2.59,41.0,24.0
Residential,131872.0,156.0,74.0,1.63,98.38,2.56,61.0,45.0
Residential,102548.0,131.0,60.0,1.64,98.91,2.38,55.0,41.0
Residential,51138.0,110.0,55.0,1.0,69.4,2.44,45.0,25.0
Residential,257756.0,134.0,66.0,1.69,66.63,2.31,58.0,40.0
Commercial,73742.0,215.0,76.0,1.75,61.0,3.07,70.0,51.0
Residential,167932.0,215.0,76.0,2.46,120.08,3.07,70.0,51.0
Residential,148387.0,102.0,36.0,2.2,101.8,3.09,33.0,15.0
Residential,111817.0,136.0,54.0,1.05,69.89,2.62,52.0,34.0
Residential,24896.0,114.0,41.0,1.25,116.5,3.0,38.0,9.0
Residential,151376.0,114.0,41.0,1.0,23.09,3.0,38.0,9.0
Residential,109426.0,85.0,28.0,2.0,115.33,3.54,24.0,12.0
Residential,97021.0,90.0,38.0,1.9,107.2,2.57,35.0,19.0
Residential,74040.0,90.0,38.0,1.13,116.0,2.57,35.0,19.0
Residential,87899.0,83.0,39.0,1.88,94.38,2.77,30.0,10.0
Residential,88588.0,97.0,32.0,1.0,91.8,3.13,31.0,19.0
Commercial,50161.0,96.0,38.0,1.0,73.67,2.59,37.0,30.0
Commercial,203404.0,24.0,17.0,2.5,119.5,1.71,14.0,12.0
Residential,254462.0,149.0,54.0,2.0,41.89,2.81,53.0,29.0
Residential,29998.0,149.0,54.0,1.2,99.6,2.81,53.0,29.0
Residential,141905.0,115.0,46.0,1.82,110.09,2.74,42.0,23.0
Residential,131062.0,160.0,55.0,2.0,109.27,3.02,53.0,32.0
Residential,85058.0,87.0,36.0,2.0,128.8,2.72,32.0,16.0
Residential,88450.0,91.0,31.0,1.9,127.0,3.03,30.0,15.0
Residential,193225.0,150.0,64.0,1.68,100.79,2.68,56.0,40.0
Residential,65247.0,176.0,79.0,2.2,97.6,2.48,71.0,52.0
Residential,104528.0,123.0,55.0,2.0,82.0,2.46,50.0,30.0
